subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,1,1,0.9951956917494548,0.1625
HAEB38,0,0,-1.0,0.160493827160494
HAEB38,0,0,-1.0,0.170731707317073
HAEB38,0,0,-1.0,0.180722891566265
HAEB38,0,0,-1.0,0.19047619047619
HAEB38,0,0,-1.0,0.209302325581395
HAEB38,1,1,0.982636192285238,0.244444444444444
HAEB38,0,0,-1.0,0.25
HAEB38,1,0,-1.0,0.273684210526316
HAEB38,0,0,-1.0,0.270833333333333
HAEB38,0,0,-1.0,0.278350515463918
HAEB38,0,0,-1.0,0.285714285714286
HAEB38,1,1,0.9967145189881244,0.292929292929293
HAEB38,0,0,-1.0,0.294117647058823
HAEB38,0,0,-1.0,0.307692307692308
HAEB38,0,0,-1.0,0.314285714285714
HAEB38,0,0,-1.0,0.320754716981132
HAEB38,0,0,-1.0,0.330275229357798
HAEB38,0,0,-1.0,0.353982300884956
HAEB38,0,0,-1.0,0.359649122807018
HAEB38,1,1,1.0,0.370689655172414
HAEB38,0,1,0.9370731634794542,0.372881355932203
HAEB38,0,1,0.9825735777673054,0.378151260504202
HAEB38,1,0,-1.0,0.380165289256198
HAEB38,0,0,-1.0,0.373983739837398
HAEB38,0,0,-1.0,0.377952755905512
HAEB38,0,0,-1.0,0.125
HAEB38,1,1,0.9418910698517834,0.25
HAEB38,1,0,-1.0,0.238095238095238
HAEB38,1,1,0.9283569306600828,0.227272727272727
HAEB38,1,0,-1.0,0.208333333333333
HAEB38,1,1,0.9773979076942012,0.2
HAEB38,1,0,-1.0,0.185185185185185
HAEB38,1,0,-1.0,0.206896551724138
HAEB38,0,0,-1.0,0.21875
HAEB38,0,0,-1.0,0.242424242424242
HAEB38,1,0,-1.0,0.257142857142857
HAEB38,0,0,-1.0,0.25
HAEB38,0,0,-1.0,0.256410256410256
HAEB38,0,0,-1.0,0.268292682926829
HAEB38,1,0,-1.0,0.279069767441861
HAEB38,1,1,0.949153605725766,0.272727272727273
HAEB38,0,0,-1.0,0.266666666666667
HAEB38,1,1,0.9959629201674915,0.276595744680851
HAEB38,0,0,-1.0,0.26530612244898
HAEB38,1,0,-1.0,0.288461538461538
HAEB38,1,0,-1.0,0.283018867924528
HAEB38,0,0,-1.0,0.267857142857143
HAEB38,0,0,-1.0,0.280701754385965
HAEB38,0,0,-1.0,0.305084745762712
HAEB38,1,0,-1.0,0.316666666666667
HAEB38,0,0,-1.0,0.306451612903226
HAEB38,1,1,0.99830396301087,0.317460317460317
HAEB38,1,0,-1.0,0.3125
HAEB38,0,0,-1.0,0.307692307692308
HAEB38,1,0,-1.0,0.318181818181818
HAEB38,0,0,-1.0,0.313432835820896
HAEB38,0,0,-1.0,0.323529411764706
HAEB38,1,1,0.9736770205278776,0.328571428571429
HAEB38,1,0,-1.0,0.323943661971831
HAEB38,1,0,-1.0,0.319444444444444
HAEB38,0,0,-1.0,0.315068493150685
HAEB38,1,0,-1.0,0.324324324324324
HAEB38,1,0,-1.0,0.32
HAEB38,1,1,0.9393568418742476,0.315789473684211
HAEB38,0,0,-1.0,0.311688311688312
HAEB38,0,0,-1.0,0.32051282051282
HAEB38,0,0,-1.0,0.325
HAEB38,1,0,-1.0,0.333333333333333
HAEB38,0,0,-1.0,0.325301204819277
HAEB38,0,0,-1.0,0.333333333333333
HAEB38,0,0,-1.0,0.337209302325581
HAEB38,0,0,-1.0,0.344827586206897
